station_id,date,Q_m3s
A017 Bormida a Cassine (Caranzano),1957-05-01,62.49032258064516
A017 Bormida a Cassine (Caranzano),1957-06-01,22.403333333333332
A017 Bormida a Cassine (Caranzano),1957-07-01,7.130322580645161
A017 Bormida a Cassine (Caranzano),1957-08-01,3.9506451612903226
A017 Bormida a Cassine (Caranzano),1957-09-01,2.147666666666667
A017 Bormida a Cassine (Caranzano),1957-10-01,2.876451612903226
A017 Bormida a Cassine (Caranzano),1957-11-01,45.25566666666667
A017 Bormida a Cassine (Caranzano),1957-12-01,71.5516129032258
A017 Bormida a Cassine (Caranzano),1958-01-01,16.1
A017 Bormida a Cassine (Caranzano),1958-02-01,16.588214285714287
A017 Bormida a Cassine (Caranzano),1958-03-01,14.148387096774194
A017 Bormida a Cassine (Caranzano),1958-04-01,77.82
A017 Bormida a Cassine (Caranzano),1958-05-01,12.159354838709678
A017 Bormida a Cassine (Caranzano),1958-06-01,5.998666666666667
A017 Bormida a Cassine (Caranzano),1958-07-01,2.7706451612903225
A017 Bormida a Cassine (Caranzano),1958-08-01,2.5090322580645164
A017 Bormida a Cassine (Caranzano),1958-09-01,2.48
A017 Bormida a Cassine (Caranzano),1958-10-01,8.050322580645162
A017 Bormida a Cassine (Caranzano),1958-11-01,64.35266666666666
A017 Bormida a Cassine (Caranzano),1958-12-01,75.89354838709677
A017 Bormida a Cassine (Caranzano),1995-02-01,40.7
A017 Bormida a Cassine (Caranzano),1995-03-01,10.037096774193548
A017 Bormida a Cassine (Caranzano),1995-04-01,28.508333333333333
A017 Bormida a Cassine (Caranzano),1995-05-01,17.1858064516129
A017 Bormida a Cassine (Caranzano),1995-06-01,12.211333333333332
A017 Bormida a Cassine (Caranzano),1995-07-01,2.220967741935484
A017 Bormida a Cassine (Caranzano),1995-08-01,2.9741935483870967
A017 Bormida a Cassine (Caranzano),1995-09-01,9.105263157894736
A017 Bormida a Cassine (Caranzano),1995-10-01,7.324
A017 Bormida a Cassine (Caranzano),1995-11-01,26.08966666666667
A017 Bormida a Cassine (Caranzano),1995-12-01,32.55161290322581
A017 Bormida a Cassine (Caranzano),1996-01-01,95.20645161290322
A017 Bormida a Cassine (Caranzano),1996-02-01,48.19655172413793
A017 Bormida a Cassine (Caranzano),1996-03-01,55.28387096774193
A017 Bormida a Cassine (Caranzano),1996-04-01,52.00666666666667
A017 Bormida a Cassine (Caranzano),1996-05-01,25.708709677419357
A017 Bormida a Cassine (Caranzano),1996-06-01,6.2780000000000005
A017 Bormida a Cassine (Caranzano),1996-07-01,0.9003703703703704
A017 Bormida a Cassine (Caranzano),1996-10-01,40.95952380952381
A017 Bormida a Cassine (Caranzano),1996-11-01,27.294333333333334
A017 Bormida a Cassine (Caranzano),1996-12-01,14.625
A017 Bormida a Cassine (Caranzano),1997-01-01,34.079032258064515
A017 Bormida a Cassine (Caranzano),1997-02-01,22.505
A017 Bormida a Cassine (Caranzano),1997-03-01,12.467419354838709
A017 Bormida a Cassine (Caranzano),1997-04-01,5.358666666666666
A017 Bormida a Cassine (Caranzano),1997-05-01,3.86
A017 Bormida a Cassine (Caranzano),1997-06-01,6.195666666666667
A017 Bormida a Cassine (Caranzano),1997-07-01,2.844193548387097
A017 Bormida a Cassine (Caranzano),1997-08-01,2.695806451612903
A017 Bormida a Cassine (Caranzano),1997-09-01,1.2913333333333334
A017 Bormida a Cassine (Caranzano),1997-10-01,1.49
A017 Bormida a Cassine (Caranzano),1997-11-01,7.55
A017 Bormida a Cassine (Caranzano),1997-12-01,12.448709677419355
A017 Bormida a Cassine (Caranzano),1998-01-01,13.889032258064516
A017 Bormida a Cassine (Caranzano),1998-02-01,5.298928571428571
A017 Bormida a Cassine (Caranzano),1998-03-01,4.1816129032258065
A017 Bormida a Cassine (Caranzano),1998-04-01,23.685666666666666
A017 Bormida a Cassine (Caranzano),1998-05-01,50.188709677419354
A017 Bormida a Cassine (Caranzano),1998-06-01,22.176666666666666
A017 Bormida a Cassine (Caranzano),1998-07-01,3.3329032258064513
A017 Bormida a Cassine (Caranzano),1998-08-01,2.5006451612903224
A017 Bormida a Cassine (Caranzano),1998-09-01,1.3553333333333335
A017 Bormida a Cassine (Caranzano),1998-10-01,4.218064516129032
A017 Bormida a Cassine (Caranzano),1998-11-01,1.9793333333333334
A017 Bormida a Cassine (Caranzano),1998-12-01,2.7312903225806453
A017 Bormida a Cassine (Caranzano),1999-01-01,18.20967741935484
A017 Bormida a Cassine (Caranzano),1999-02-01,8.2875
A017 Bormida a Cassine (Caranzano),1999-03-01,23.90064516129032
A017 Bormida a Cassine (Caranzano),1999-04-01,17.677666666666667
A017 Bormida a Cassine (Caranzano),1999-05-01,18.83451612903226
A017 Bormida a Cassine (Caranzano),1999-06-01,4.878333333333333
