system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
4_00000000000000000004,0.0,0.43378215234721,130.55048184525765,0.4177985786863722,1.9384222904067019,2010-05-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000005,0.0,0.7708757643884893,84.92981772800144,0.3839488955710432,9.890583329235072,2010-05-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000006,0.0,0.29200353581142346,102.58602300732113,0.47525725792671275,5.971339965709664,2010-05-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000007,0.0,0.5037018287243533,133.92496192380855,0.4319554787464805,14.174477836343483,2010-05-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000008,0.0,0.7027615521855487,128.02355076350025,0.34172527711376566,14.985542176218592,2010-05-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000009,0.0,0.5909221880492092,258.4626405042169,0.3249805631453207,6.709404444904048,2010-05-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,0.0,0.6168201793721974,106.71907352738317,0.2668146518313831,20.432655669755487,2010-06-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,0.0,0.636059487410072,138.10514962587425,0.40197570032353025,9.122448203546563,2010-06-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,0.0,0.7578415989159891,133.00689507047656,0.42802884068269387,16.046382076328925,2010-06-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,0.0,0.7548143683274021,152.2691977965874,0.28768016774459243,14.320890140194082,2010-06-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004,0.0,0.6827456598759966,142.54585663463504,0.39854412230904707,8.457211090169006,2010-06-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000005,0.0,0.8541849820143886,151.88712634628627,0.37976602513155494,14.967833418811852,2010-06-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006,0.0,0.5145651858567544,154.60941507680138,0.47413061147155494,11.269483783130548,2010-06-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000007,0.0,0.6713045941123997,163.22108170903232,0.4007967320220158,18.874697023880074,2010-06-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000008,0.0,0.67188501338091,97.38872382430283,0.28358184514994295,19.813963722140553,2010-06-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000009,0.0,0.6777083040421793,116.09934911744666,0.3006029179309918,12.414553205493487,2010-06-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,0.0,0.577632869955157,35.33438512690934,0.17385115687622618,25.38893966332682,2010-07-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,0.0,0.7217107014388491,66.45510756540642,0.35082656531025186,13.227652175134915,2010-07-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
